mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.93,0.695,3.289,0.17800000000000002,0.573,0.366,4.4060000000000015,5.065,0.0
11.185,0.7929999999999999,1.765,0.151,0.459,0.3,2.674,4.897,0.0
11.919,0.802,1.175,0.13699999999999998,0.4320000000000001,0.248,1.992,4.881,0.0
12.333,0.818,0.94,0.13,0.4,0.237,1.707,4.85,0.0
12.626,0.831,0.669,0.12,0.378,0.225,1.392,4.882,0.0
12.73,0.8420000000000001,0.7559999999999999,0.117,0.363,0.213,1.4480000000000002,4.853,0.0
12.713,0.8420000000000001,0.615,0.112,0.35700000000000004,0.203,1.287,4.881,0.0
12.576,0.846,0.574,0.111,0.35100000000000003,0.19,1.225,4.881,0.0
12.874,0.8590000000000001,0.464,0.103,0.329,0.179,1.075,4.881,0.0
12.640999999999998,0.865,0.441,0.102,0.316,0.175,1.033,4.876,0.0
12.652,0.8640000000000001,0.398,0.098,0.321,0.16699999999999998,0.984,4.883,0.0
12.948,0.871,0.389,0.093,0.304,0.16699999999999998,0.953,4.873,0.0
12.903,0.877,0.387,0.091,0.29,0.156,0.924,4.846,0.0
12.782,0.884,0.402,0.091,0.289,0.156,0.937,4.904,0.0
13.039,0.8859999999999999,0.39,0.092,0.277,0.152,0.911,4.88,0.0
12.948,0.883,0.419,0.087,0.273,0.146,0.925,4.95,0.0
13.244000000000002,0.89,0.328,0.084,0.259,0.138,0.809,4.868,0.0
13.01,0.8809999999999999,0.35100000000000003,0.087,0.29,0.136,0.8640000000000001,4.896,0.0
13.117,0.892,0.322,0.083,0.261,0.129,0.7959999999999999,4.864,0.0
13.03,0.8959999999999999,0.312,0.079,0.253,0.123,0.768,4.873,0.0
13.251,0.89,0.279,0.08,0.263,0.124,0.747,4.9030000000000005,0.0
13.317,0.904,0.267,0.07400000000000001,0.232,0.117,0.691,4.885,0.0
13.069,0.906,0.255,0.076,0.237,0.121,0.688,4.909,0.0
12.915,0.901,0.237,0.076,0.236,0.121,0.669,4.922,0.0
13.094,0.914,0.272,0.07200000000000001,0.223,0.116,0.6829999999999999,4.881,0.0
13.175999999999998,0.904,0.242,0.069,0.224,0.112,0.647,4.856,0.0
13.313,0.908,0.245,0.067,0.22,0.106,0.638,4.8660000000000005,0.0
13.199000000000002,0.912,0.21600000000000005,0.068,0.224,0.108,0.616,4.908,0.0
13.16,0.905,0.229,0.07,0.221,0.108,0.629,4.922,0.0
13.392,0.91,0.174,0.066,0.209,0.103,0.5529999999999999,4.833,0.0
13.358,0.916,0.194,0.065,0.204,0.097,0.56,4.856,0.0
13.329,0.915,0.207,0.065,0.202,0.103,0.5760000000000001,4.891,0.0
13.549,0.917,0.217,0.063,0.198,0.1,0.578,4.872,0.0
13.65,0.916,0.231,0.063,0.208,0.102,0.604,4.871,0.0
13.509,0.919,0.212,0.062,0.203,0.101,0.579,4.869,0.0
13.151,0.914,0.267,0.062,0.212,0.097,0.638,4.833,0.0
13.575,0.92,0.181,0.059,0.189,0.091,0.52,4.835,0.0
13.497,0.928,0.19,0.058,0.182,0.091,0.522,4.838,0.0
13.358,0.915,0.17,0.059,0.202,0.093,0.525,4.824,0.0
13.429,0.925,0.187,0.054000000000000006,0.184,0.08800000000000001,0.514,4.841,0.0
13.197000000000001,0.925,0.184,0.055,0.18600000000000003,0.09,0.516,5.452999999999999,0.0
13.487,0.932,0.154,0.053,0.18,0.085,0.47200000000000003,5.251,0.0
13.463,0.9179999999999999,0.251,0.057,0.198,0.09300000000000001,0.598,5.236000000000001,0.0
13.045,0.924,0.174,0.054000000000000006,0.19,0.085,0.503,5.186,0.0
13.492,0.9309999999999999,0.20199999999999999,0.052000000000000005,0.175,0.083,0.512,5.204,0.0
13.600999999999999,0.9259999999999999,0.162,0.051,0.18899999999999997,0.079,0.48100000000000004,5.144,0.0
