mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.296,0.944,0.128,0.035,0.145,0.061,0.369,5.383,0.0
13.656,0.943,0.147,0.037,0.149,0.062,0.395,5.325,0.0
13.604,0.942,0.151,0.034,0.153,0.058,0.395,5.304,0.0
13.586,0.94,0.132,0.035,0.154,0.06,0.381,5.268,0.0
13.621,0.944,0.126,0.03,0.137,0.059,0.353,5.279,0.0
13.586,0.941,0.155,0.032,0.147,0.059,0.393,5.199,0.0
13.675,0.946,0.123,0.03,0.138,0.057,0.348,5.255,0.0
13.436,0.941,0.147,0.034,0.146,0.062,0.389,5.331,0.0
13.802,0.945,0.133,0.03,0.147,0.058,0.367,5.225,0.0
13.579,0.947,0.124,0.03,0.13,0.058,0.343,5.23,0.0
13.407,0.945,0.119,0.03,0.141,0.055,0.345,5.347,0.0
13.501,0.939,0.139,0.028,0.151,0.054,0.373,5.241,0.0
13.793,0.948,0.1,0.028,0.137,0.055,0.319,5.188,0.0
13.634,0.941,0.159,0.03,0.153,0.059,0.401,5.264,0.0
13.546,0.945,0.124,0.029,0.145,0.058,0.355,5.167,0.0
13.949,0.948,0.12,0.028,0.132,0.055,0.335,5.23,0.0
13.701,0.95,0.114,0.027,0.13,0.053,0.324,5.193,0.0
13.679,0.947,0.125,0.028,0.133,0.051,0.336,5.245,0.0
13.666,0.949,0.123,0.025,0.128,0.052,0.328,5.187,0.0
13.323,0.949,0.143,0.028,0.121,0.053,0.346,5.171,0.0
13.621,0.945,0.1,0.027,0.141,0.054,0.322,5.111,0.0
13.784,0.942,0.116,0.026,0.141,0.05,0.333,5.171,0.0
13.679,0.948,0.166,0.028,0.135,0.054,0.383,5.202,0.0
13.797,0.943,0.124,0.029,0.135,0.053,0.342,5.205,0.0
13.552,0.949,0.111,0.025,0.131,0.051,0.319,5.141,0.0
